id;sort_order;text;image;answer_a;answer_b;answer_c;answer_d;correct_answer;time_limit
1;10948;Handcrafted Kiribati Cambridgeshire;America;complexity systematic;HDD;Nepalese protocol;invoice;C;74174
2;72684;group global;Mouse Avon well-modulated;online Response;withdrawal utilize;withdrawal;Market transmit utilisation;C;8046
3;53961;ivory navigating best-of-breed;orchid Cheese Synergized;York;Way Dynamic USB;Practical Alabama 1080p;withdrawal connect;A;69981
4;67239;mint;supply-chains;De-engineered green Down-sized;experiences zero reintermediate;Bike system Riyal;loyalty;A;92767
5;34087;Sudan XML Bike;cyan Franc;Buckinghamshire protocol Crossing;indexing;Euro Direct;system Right-sized Soft;A;43919
6;60087;Awesome;Baby Inverse Expanded;Tuna;Avon Manager;Architect SSL;Music Steel SCSI;C;33420
7;50202;New Ball Group;Unions orange;Legacy;Estonia Mobility;firewall;Web Malawi;C;10652
8;12821;Refined;whiteboard Account communities;Automotive;Account;Executive customer Bedfordshire;systems connecting;B;70302
9;67646;Assurance Gloves;Buckinghamshire invoice Practical;paradigms;Investor;system Sports;Greenland;B;72619
10;17729;real-time Product;feed system didactic;embrace Orchestrator;Solutions synthesizing Technician;Applications Berkshire Chief;visualize;C;79351
